,abundance_crust,abundance_sea,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,block,c6,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,density,dipole_polarizability,dipole_polarizability_unc,electron_affinity,en_allen,en_ghosh,en_pauling,glawe_number,group_id,heat_of_formation,is_radioactive,lattice_structure,mendeleev_number,molar_heat_capacity,period,pettifor_number,series_id,specific_heat_capacity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_uff
98,,,99,,,,252.0,f,,,,165.0,140.0,,8.84,118.0,20.0,,,0.21427,,43.0,,133.0,True,,34,,7,38.0,10,,245.00000000000003,270.0,,,,,329.9
99,,,100,,,,257.0,f,,,,167.0,,,9.7,113.0,20.0,,,0.22485,,44.0,,,True,,36,,7,37.0,10,,245.00000000000003,,,,,,328.6
100,,,101,,,,258.0,f,,,,173.0,139.0,,10.3,109.0,20.0,,,0.23542,,45.0,,,True,,38,,7,36.0,10,,246.0,,,,,,327.4
101,,,102,,,,259.0,f,,,,176.0,,,9.9,110.0,6.0,,,0.24600000000000002,,46.0,,,True,,40,,7,35.0,10,,246.0,,,,,,324.8
102,,,103,,,,262.0,f,,,,161.0,141.0,,15.6,320.0,20.0,,,0.24844000000000002,,47.0,,,True,,42,,7,34.0,8,,246.0,,,,,,323.6
103,,,104,,,,267.0,d,,,,157.0,140.0,131.0,23.3,112.0,10.0,,,,,,4.0,,True,,46,,7,,8,,,,,,,,
104,,,105,,,,268.0,d,,,,149.0,136.0,126.0,29.3,42.0,4.0,,,,,,5.0,,True,,50,,7,,8,,,,,,,,
105,,,106,,,,271.0,d,,,,143.0,128.0,121.0,35.0,40.0,4.0,,,,,,6.0,,True,,54,,7,,8,,,,,,,,
106,,,107,,,,274.0,d,,,,141.0,128.0,119.0,37.1,38.0,4.0,,,,,,7.0,,True,,58,,7,,8,,,,,,,,
107,,,108,,,,269.0,d,,,,134.0,125.0,118.0,40.7,36.0,4.0,,,,,,8.0,,True,,62,,7,,8,,,,,,,,
108,,,109,,,,276.0,d,,,,129.0,125.0,113.0,37.4,34.0,3.0,,,,,,9.0,,True,,66,,7,,8,,,,,,,,
109,,,110,,,,281.0,d,,,,128.0,116.0,118.0,34.8,32.0,3.0,,,,,,10.0,,True,,70,,7,,8,,,,,,,,
110,,,111,,,,281.0,d,,,,121.0,116.0,118.0,28.7,32.0,6.0,,,,,,11.0,,True,,74,,7,,8,,,,,,,,
111,,,112,,,,285.0,d,,,,122.0,137.0,130.0,14.0,28.0,2.0,,,,,,12.0,,True,,80,,7,,8,,,,,,,,
112,,,113,,,,286.0,p,,,,136.0,,,16.0,29.0,2.0,,,,,,13.0,,True,,86,,7,,7,,,,,,,,
113,,,114,,,,289.0,p,,,,143.0,,,9.928,31.0,4.0,,,,,,14.0,,True,,92,,7,,7,,,,,,,,
114,,,115,,,,288.0,p,,,,162.0,,,13.5,71.0,20.0,,,,,,15.0,,True,,98,,7,,7,,,,,,,,
115,,,116,,,,293.0,p,,,,175.0,,,12.9,,,,,,,,16.0,,True,,104,,7,,7,,,,,,,,
116,,,117,,,,294.0,p,,,,165.0,,,7.2,76.0,15.0,,,,,,17.0,,True,,111,,7,,6,,,,,,,,
117,,,118,,,,294.0,p,,,,157.0,,,7.0,58.0,6.0,0.055999999999999994,,,,,18.0,,True,,118,,7,,2,,,,,,,,
