Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.233,0.1907,0.5756
1,2,0.2336,0.2429,0.5215
1,3,0.3243,0.5572,0.4381
1,4,0.2547,0.1604,0.6034
1,5,0.1414,0.0831,0.655
1,6,0.107,0.0985,0.7081
1,7,0.0831,0.1099,0.6691
1,8,0.0717,0.0929,0.6487
1,9,0.0624,0.0704,0.695
1,10,0.0632,0.106,0.6905
1,11,0.0447,0.1232,0.6938
1,12,0.0425,0.1117,0.7373
1,13,0.0328,0.0845,0.7336
1,14,0.0483,0.1163,0.7188
1,15,0.0322,0.132,0.692
1,16,0.0273,0.1518,0.7039
1,17,0.0218,0.0948,0.7165
1,18,0.0248,0.1097,0.7214
1,19,0.027,0.1362,0.6889
1,20,0.0249,0.1545,0.6991
2,1,0.272,0.2632,0.5257
2,2,0.1917,0.4215,0.478
2,3,0.3039,0.3573,0.5766
2,4,0.2502,0.2154,0.4713
2,5,0.158,0.1112,0.5336
2,6,0.1317,0.1588,0.6506
2,7,0.0923,0.2158,0.597
2,8,0.0848,0.1639,0.6016
2,9,0.0714,0.2086,0.6485
2,10,0.0549,0.2141,0.645
2,11,0.0395,0.1643,0.6436
2,12,0.0317,0.154,0.6146
2,13,0.0333,0.178,0.675
2,14,0.0395,0.2123,0.569
2,15,0.037,0.206,0.6478
2,16,0.0336,0.1723,0.675
2,17,0.0277,0.1714,0.6256
2,18,0.0293,0.1529,0.6716
2,19,0.0259,0.1689,0.668
2,20,0.0235,0.1742,0.6607
3,1,0.243,0.2101,0.5298
3,2,0.1685,0.5544,0.4431
3,3,0.4351,0.4646,0.3278
3,4,0.2886,0.315,0.3707
3,5,0.1917,0.1914,0.4404
3,6,0.1556,0.1588,0.4555
3,7,0.1301,0.1533,0.5419
3,8,0.1324,0.1458,0.5493
3,9,0.1119,0.1376,0.5853
3,10,0.0959,0.1417,0.573
3,11,0.0962,0.1482,0.5765
3,12,0.0876,0.1321,0.6066
3,13,0.0766,0.1458,0.6387
3,14,0.0779,0.1601,0.6004
3,15,0.0621,0.1973,0.6354
3,16,0.0665,0.1495,0.6073
3,17,0.0594,0.1274,0.6224
3,18,0.062,0.1233,0.5847
3,19,0.0609,0.1453,0.6254
3,20,0.0457,0.1333,0.6268
4,1,0.2151,0.2143,0.4471
4,2,0.2036,0.2515,0.4579
4,3,0.2954,0.8039,0.3673
4,4,0.315,0.3232,0.4926
4,5,0.1576,0.246,0.5551
4,6,0.1555,0.18,0.6331
4,7,0.0875,0.2371,0.6999
4,8,0.0718,0.1859,0.6514
4,9,0.0673,0.2083,0.6263
